Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,32 HOSPITAL AND HEALTH FACILITIES,4,3053,78,,I9,2342 WASHINGTON AVENUE,,10458,103,0,103,"5,606","17,605",1931,4,I9,"17,062,000",8/23/22
2,BATHGATE,33 EDUCATIONAL FACILITIES,4,2898,1,,W4,1700 WEBSTER AVENUE,,10457,0,6,6,"26,680","45,745",1930,4,W4,10,6/15/22
2,BATHGATE,37 RELIGIOUS FACILITIES,4,2918,31,,M9,1883 BATHGATE AVENUE,,10457,0,1,1,"3,070","6,447",1931,4,M9,"1,250,000",2/23/22
2,BATHGATE,38 ASYLUMS AND HOMES,4,2897,132,,N9,415 CLAREMONT PARKWAY,,10457,18,0,18,"4,656","19,600",1904,4,N9,0,12/22/22
2,BATHGATE,41 TAX CLASS 4 - OTHER,4,2898,31,,Z9,4026 PARK AVENUE,,10457,0,1,1,"29,043","5,670",1956,4,Z9,10,6/15/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,61,,A5,1112 EAST 213 STREET,,10469,1,0,1,"1,734","1,512",1950,1,A5,"200,000",6/10/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4711,98,,A5,1317 HICKS STREET,,10469,1,0,1,"1,709","1,701",1950,1,A5,"635,000",8/31/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4715,62,,A9,1120 EAST 221ST,,10469,1,0,1,"1,746","1,690",1950,1,A9,"475,000",5/6/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4716,57,,A9,1107 EAST 221 STREET,,10469,1,0,1,"1,655","1,648",1950,1,A9,"600,000",9/23/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4718,17,,A1,1436 OAKLEY STREET,,10469,1,0,1,"2,374","1,959",1920,1,A1,0,8/15/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4719,51,,A9,1429 HICKS STREET,,10469,1,0,1,"1,709","1,690",1960,1,A9,"634,999",11/22/22
